headlines,date,source
The use of hydrogen in the shift to a more sustainable future has become a big talking point in recent years.,2022-11-30 08:11:51+00:00,CNBC
Construction of the first phase is slated to begin in 2025.,2022-11-15 19:02:17+00:00,CNBC
The bank initiated coverage on the stock with a buy rating and $13 price target.,2023-07-06 07:53:33+00:00,CNBC
"Peter Herweck, CEO of Schneider Electric, discusses artificial intelligence, the energy transition and green hydrogen with CNBC.",2024-01-16 02:29:42+00:00,CNBC
The European Commission wants 40 gigawatts of renewable hydrogen electrolyzers to be installed in the EU by 2030.,2022-10-12 05:24:38+00:00,CNBC
Credit Suisse says green hydrogen is about to get a boost and it's time to get in — though it urges investors to be selective.,2022-09-27 21:57:50+00:00,CNBC
A number of multinational firms have attempted to lay down a marker in the green hydrogen sector in recent years.,2022-09-16 02:52:49+00:00,CNBC
"Amazon said Plug will supply 10,950 tons of green hydrogen per year for its transportation and building operations starting in 2025.",2022-08-25 16:33:49+00:00,CNBC
"Siemens Energy and Air Liquide have announced plans to focus on the production of ""industrial scale renewable hydrogen electrolyzers in Europe.""",2022-06-24 01:16:00+00:00,CNBC
"Marco Alvera, CEO of Tree Energy Solutions, discusses e-methane and green hydrogen.",2023-05-11 02:31:08+00:00,CNBC
The planned development is located in the Pilbara region of Western Australia.,2022-06-15 07:12:17+00:00,CNBC
Indian companies are committing billions of dollars to green hydrogen projects but experts caution technology is still very new.,2022-05-02 23:47:32+00:00,CNBC
The vast majority of hydrogen generation is currently based on fossil fuels.,2022-04-26 12:02:18+00:00,CNBC
Bernstein names its top stocks to cash in on green hydrogen — and gives one potential upside of over 90%.,2022-04-05 20:36:38+00:00,CNBC
CNBC's Sustainable Future takes a look at the emerging pink hydrogen sector and the role it could play in the planet's shift to a low-carbon future.,2023-02-03 06:06:00+00:00,CNBC
"India's new hydrogen policy is set to benefit these 3 stocks, according to Goldman Sachs.",2022-02-23 18:37:17+00:00,CNBC
Over the past few years a number of major firms have undertaken projects related to green hydrogen.,2022-02-02 09:37:19+00:00,CNBC
"The investment bank said green hydrogen would be a ""key beneficiary"" of stimulus plans on both sides of the Atlantic and benefit stocks in the sector.",2023-02-09 07:50:41+00:00,CNBC
Markus Krebber made his comments during an interview with CNBC this week.,2021-12-16 10:52:00+00:00,CNBC
"There is excitement in some quarters about the potential of green hydrogen, but challenges remain.",2021-12-23 08:53:04+00:00,CNBC
"Andrés Gluski made his comments during a panel discussion at the World Economic Forum in Davos, Switzerland.",2023-01-23 19:30:44+00:00,CNBC
"Agreement will ""explore the co-development of a UAE-based green hydrogen hub.""",2021-12-07 11:31:59+00:00,CNBC
It's the latest example of how the sector is starting to attract the attention of major firms.,2021-11-01 09:06:09+00:00,CNBC
The development will be situated on the Iberian Peninsula and is set to come online in 2025 or 2026.,2021-12-03 07:47:59+00:00,CNBC
"Mark Hutchinson, CEO of Fortescue Future Industries, discusses the role of hydrogen in the energy transition, the major players in this space and the outlook for green hydrogen.",2023-02-01 09:28:20+00:00,CNBC
Christian Bruch made his comments during a discussion at CNBC's Sustainable Future Forum.,2021-10-20 07:51:05+00:00,CNBC
The firms have signed a memorandum of understanding related to the initiative.,2021-11-09 09:28:15+00:00,CNBC
Analysts at UBS have picked a host of stocks they believe to be the best positioned to capture the massive potential of green hydrogen.,2021-08-15 20:00:01+00:00,CNBC
Hydrogen has a diverse range of applications and can be deployed in sectors such as industry and transport.,2021-08-11 09:47:51+00:00,CNBC
"Hydrogen can be produced in a number of ways, including using renewable energy.",2021-06-10 03:20:49+00:00,CNBC
Hydrogen has a range of applications and can be deployed in sectors such as industry and transport.,2021-03-10 07:53:13+00:00,CNBC
"Marco Alvera, CEO of Tree Energy Solutions, talks about what's needed to ramp up the green hydrogen sector.",2022-11-01 05:17:19+00:00,CNBC
Hydrogen plays a central role in advancing the development of clean energy initiatives.,2022-08-15 17:15:12+00:00,CNBC
This week also saw two other European projects focused on green hydrogen production take shape.,2021-01-22 12:02:53+00:00,CNBC
The facility is expected to generate its first hydrogen toward the end of the year.,2021-01-20 09:46:27+00:00,CNBC
A subsidiary of German industrial giant Thyssenkrupp has been awarded an engineering contract for the project.,2021-01-24 08:40:03+00:00,CNBC
The rollout of climate policies in the coming years is expected to lead to a dramatic surge in power demand.,2021-02-11 01:38:43+00:00,CNBC
"Peter Terwiesch, president at ABB Process Automation, discusses green hydrogen and its credentials as a sustainable energy source.",2022-09-02 05:49:00+00:00,CNBC
Renewable energy will play a crucial role in the years ahead.,2020-10-13 12:05:57+00:00,CNBC
The new container ship has two engines: one moved by traditional fuels and another run with green methanol.,2023-09-25 01:30:35+00:00,CNBC
"The world is shifting to low-carbon energy and as prices for ""green hydrogen"" fall, Morgan Stanley put together a basket of companies that stand to benefit.",2022-03-29 10:24:28+00:00,CNBC
Hydrogen has a diverse range of applications and can be deployed in a wide range of industries.,2022-01-28 07:39:02+00:00,CNBC
"According to RWE, the H2opZee project will produce green hydrogen using offshore wind.",2022-02-16 09:51:33+00:00,CNBC
Hydrogen is a controversial part of decarbonization energy plans. Here's how hydrogen works and why the way it is produced matters.,2022-01-14 18:41:12+00:00,CNBC
"""Hydrogen in transport [is] expected to be deployed more widely from the latter half of the decade,"" the bank says. CNBC Pro takes a look at four stock picks.",2023-04-24 20:34:09+00:00,CNBC
"Talmon Marco took messaging start-up Viber and ride-hailing start-up Juno to acquisitions. Now, he's running a green hydrogen start-up, H2Pro.",2022-01-25 14:09:57+00:00,CNBC
